URL,Event Type,Event Description,Event Topic,Start Time,End Time,Categories
https://calendar.utdallas.edu/event/join-the-get-aws-certified-associate-challenge-1212,,"Who Can Participate:UTD Students, Faculty & Staff.Why Participate:Build Credibility:Gain industry-recognized credentials from AWS.Grow Your Career:Enhance your skills and knowledge in AWS cloud services.Flexible Learning:Access digital, self-paced exam prep resources and hands-on training.Benefits:Trusted Content:Prepare with official AWS Certification Practice resources.Exam Discount:Receive a50% discount voucherfor your exam.Community Support:Engage with AWS experts and peers through live Twitch training sessions.Deadline:Register here!Register for the challenge byDecember 12, 2024.Complete your exam byDecember 12, 2024to use your discount voucher.Don’t miss this opportunity to advance your AWS cloud career!Registertoday and start your journey towards becoming AWS Certified.Have questions? Check out theAWS Community Postor theFAQ page!","Science & Technology,Career and Professional Development",2024-11-10T00:00:00-06:00,2024-11-10T00:00:00-06:00,"Career Development/Honors, STEM, Uncategorized"
https://calendar.utdallas.edu/event/nvidia-and-llamaindex-developer-contest,Lectures & Workshops,"Ready to show off your skills? TheNVIDIA and LlamaIndex Developer Contestis a global developers competition aimed at creating innovative large language model (LLM) applications powered by NVIDIA and LLamaIndex technologies.Why Participate?Global Exposure: Compete with developers from around the world and gain international recognition.Skill Development: Enhance your technical expertise by working with advanced NVIDIA technologies like NeMo™ Guardrails, NeMo Retriever, and NVIDIA TensorRT-LLM.Exciting Prizes: Win amazing prizes, including a $5,000 cash prize for the top project, GeForce RTX 4080 SUPER GPUs, and exclusive meetings with NVIDIA engineers.Professional Growth: Boost your resume with a digital certificate of accomplishment and gain valuable experience that can set you apart in the job market.Important Details:Eligibility:Individual enteries only and must be over the age of 18 years old.Deadline:The contest deadline is November 10thCick the link below to register, review technical resources, and connect with NVIDIA developers:NVIDIA and LlamaIndex Developer Contest | NVIDIA Developer",Science & Technology,2024-11-10T00:00:00-06:00,,"STEM, Tutoring"
https://calendar.utdallas.edu/event/2024-texas-general-and-special-elections,Campus & Community,"All registered Dallas County and Collin County voters will have the opportunity to vote on November 5 at on of two campus locations.Both Dallas and Collin county are countywide vote centers, which means that all registered voters in each county may vote on Election Day at any polling location within their county of registration.On the UT Dallas campus, theNovember 5 polling locations, open from 7 a.m. to 7 p.m.will be:Dallas Countyregistered voters: Visitor Center Atrium (VCB) located at 842 Loop Rd. SW, Richardson, TX 75080. Parking will be available in Lot F. For more information, visit www.dallascountyvotes.org.Collin CountyRegistered voters: UTD Callier Clinical Research Center in the Callier Center for Communication Disorders (CR) located at 811 Synergy Park Blvd., Richardson, TX 75080. Parking with be available in Lot N North with overflow in Lot S. For more information, visit www.collincountytx.gov/elections.",Event Topic not found,,,"Social, Uncategorized"
https://calendar.utdallas.edu/event/iweek25-registration-for-passport-to-the-world-or-global-talent-show,"Campus & Community,Arts & Performances","iWeek 2025is scheduled from February 17 to 21, 2025! iWeek is a week of intercultural focused programs and events that showcase international culture through food, music, performance art and much more. iWeek is sponsored by Intercultural Programs in collaboration with campus and community partners.You are welcome to register your student organization  or individual participation inPassport to the Worldand/orGlobal Talent Showfrom November 4 to December 6.Passport to the Worldis an expo of cultures featuring food samples, music, dance demos, etc. and scheduled on Monday, February 17.Global Talent Showis a showcase of culture through performance art and scheduled on Friday, February 21. Auditions will be held on January 31, between 2-5pm.Be Globally Engaged!Photo byPhil DesforgesonUnsplash",Event Topic not found,2024-11-11T08:00:00-06:00,2024-11-11T17:00:00-06:00,"Social, Uncategorized"
https://calendar.utdallas.edu/event/coffee-with-the-president-2129,,"Staff are invited to join UTD President Richard C. Benson for an informal discussion over coffee.  RSVP required, space is limited.",Event Topic not found,,,Uncategorized
https://calendar.utdallas.edu/event/international-table-tennis-singles-tournament-Fall24,"Campus & Community,Sports & Recreation","Compete or cheer with fellow students at this Fall 2024 Singles Table Tennis Tournament.This is a great and enjoyable intercultural opportunity to meet new international and domestic friends. Join us!Sign upbeginning November 3rd at 9:00am until November 9th at 11:30pm. Brackets will be created by Comp Sports staff after check-in ends, and everyone will play as the tables become available, according to the staff members' coordination. The tournament will take place onSunday, November 10 from 4pm to 8pm.Brought to you byUniversity RecreationandIntercultural Programs.Be Globally Engaged!Photo byJosh SorensonviaPexels.","Campus Life,Health & Wellness,Arts & Culture",,,Social
https://calendar.utdallas.edu/event/transfer-coffee-conversation,Campus & Community,Come-and-go event for undergraduate transfer students. Join us for coffee and breakfast while chatting with other transfer students and the Student Welcome and Transition team!,Campus Life,,,Social
https://calendar.utdallas.edu/event/global-family-cafe,Service & Volunteering,"Global Family Cafe is a welcoming space for everyone, including F2 and J2 spouses and families of all ages.  Join us in a warm,interculturalenvironment where family members can gather and share their cultures and experiences over conversation. These gatherings are offered weekly only in the fall and spring semesters. Registration is not required. You are welcome to attend anytime!A collaboration betweenInternational Christian Fellowship(ICF) andIntercultural Programs(ICP).Be Globally Engaged!Disclamair: The University of Texas at Dallas Intercultural Programs and International Christian Fellowship will not take custodial responsability of minors while participating in Global Family Cafe. Custodial responsability will remain with teachers K-12, parents, legal guardians, and chaperones.Photo by RDNE Stock project |Pexels.com",Arts & Culture,2024-11-12T09:30:00-06:00,2024-11-12T11:30:00-06:00,"Career Development/Honors, STEM, Social"
https://calendar.utdallas.edu/event/mock-visa-interview-appointments-25,Meetings & Conferences,"The ISSO understands the difficulties and misunderstandings many students face so we want to promote readiness and encourage students to apply for the visa interview as soon as possible in order for them to arrive for their program on time.To schedule a 1:1 appointment (20 minutes), click here:Mock Visa Interview AppointmentDecember 3 from 10-11:00amTo join a group session for your region, click here:Mock Visa Interview Group SessionNovember 5 from 10-10:30am (Asia)November 12 from 10-10:30am (Central and South America)November 19 from 10-10:30am (OPEN TO ALL)December 17 from 10-10:30 am (OPEN TO ALL)",Welcoming & Belonging,2024-11-12T10:00:00-06:00,2024-11-12T10:30:00-06:00,"Career Development/Honors, Social"
https://calendar.utdallas.edu/event/mock-visa-interview-group-sessions,Lectures & Workshops,"The ISSO understands the difficulties and misunderstandings many students face so we want to promote readiness and encourage students to apply for the visa interview as soon as possible in order for them to arrive for their program on time.Group Meetings: 30-minute sessions accommodating up to 10 students. Group chats have weekly regional focus, each week will spotlight a different region of the world.October 22 from 10-10:30am (India)October 29 from 10-10:30am (Africa)November 5 from 10-10:30am (Asia)November 12 from 10-10:30am (Central and South America)November 19 from 10-10:30am (OPEN TO ALL)",Welcoming & Belonging,2024-11-19T10:00:00-06:00,2024-11-20T00:00:00-06:00,"Social, Tutoring"
