Prefix,Course Code,Course Name,Description,College
AHST,AHST1303,AHST 1303 (ARTS 1303) Survey of Western Art History," Ancient to Medieval (3 semester credit hours) An introduction to painting, sculpture, and architecture in the West from prehistory through the late Middle Ages and including the achievements of the ancient Egyptian, Greek, Roman, and Medieval cultures. Monuments will be studied within their historical, religious, and social contexts, with particular focus on the role of art in society and on the development of style. (3-0) Y","School of Arts, Humanities, and Technology"
AHST,AHST1304,AHST 1304 (ARTS 1304) Survey of Western Art History," Renaissance to Modern (3 semester credit hours) An introduction to painting, sculpture, and architecture in the West from the Renaissance to the modern period, including work by such artists as Michelangelo, Rembrandt, the Impressionists, and Picasso. Artists and monuments will be studied within their historical, religious, and social contexts, with particular focus on the role of art in society and on the development of style. (3-0) Y","School of Arts, Humanities, and Technology"
AHST,AHST2331,AHST2331,,"School of Arts, Humanities, and Technology"
AHST,AHST2V71,AHST2V71,,"School of Arts, Humanities, and Technology"
AHST,AHST3313,"AHST 3313 Medieval Art and Architecture (3 semester credit hours) Studies in the art and architecture of medieval Europe and the Mediterranean. The course emphasizes the political, social, and religious foundations of Christian and Islamic art through discussions of mobility (travel, pilgrimage), media (the use of mosaic and bronze), worship (in cathedrals and mosques), and authority (in how divinity and kingship were understood). Prerequisite", Completion of 050 core. (Same as RELS 3363) (3-0) R,"School of Arts, Humanities, and Technology"
AHST,AHST3315,"AHST 3315 Renaissance Art and Architecture (3 semester credit hours) Studies in the art and architecture of Italy during the fourteenth, fifteenth, and sixteenth centuries. Special attention is devoted to the cities of Florence, Rome, and Venice. Topics include the role of politics, patronage, religious worship, the developing self-consciousness of the artist, and the importance of new techniques. Prerequisite", Completion of 050 core. (Same as RELS 3365) (3-0) T,"School of Arts, Humanities, and Technology"
AHST,AHST3316,"AHST 3316 Baroque Art and Architecture (3 semester credit hours) Studies in the art and architecture of the seventeenth century across Europe. The diverse social, political, and religious cultures of Italy, France, Spain, England, the Dutch Republic, and the Spanish Netherlands are discussed, with special emphasis upon the impact of Caravaggio, Bernini, Rubens, Velzquez, and Rembrandt. Prerequisite", Completion of 050 core. (Same as RELS 3366) (3-0) T,"School of Arts, Humanities, and Technology"
AHST,AHST3317,"AHST 3317 Pioneers of Modern Art (3 semester credit hours) Focus on the work of the Post-Impressionists (Seurat, Gauguin, Van Gogh, and Cezanne) and the Symbolists with special emphasis on the artists' contribution to the discourse of ideas and the crisis of meaning in the late nineteenth century. Prerequisite", Completion of 050 core. (3-0) R,"School of Arts, Humanities, and Technology"
AHST,AHST3318,AHST 3318 Contemporary Art (3 semester credit hours) An issue-oriented class in which a selection of recent developments in art serve to introduce the ideas and aims of postmodernism. Special attention is given to those artists who are concerned with representation and the visual element in social constructs. May be repeated for credit as topics vary (6 semester credit hours maximum). Prerequisite, Completion of 050 core. (3-0) T,"School of Arts, Humanities, and Technology"
AHST,AHST3319,AHST 3319 Twentieth Century European Art, Avant-Garde and Aftermath (3 semester credit hours) The situation of the European avant-garde before and after its explosive center point of World War I. Special emphasis will be given to the breakthrough of abstraction and modernism's problematic relation to tradition. Prerequisite: Completion of 050 core. (3-0) R,"School of Arts, Humanities, and Technology"
AHST,AHST3320,AHST 3320 Art in Historical Context (3 semester credit hours) Studies in the arts and/or architecture of such eras as ancient Greece and Rome or the eighteenth and ninenteeth centuries. May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite, Completion of 050 core. (3-0) Y,"School of Arts, Humanities, and Technology"
AHST,AHST3321,"AHST 3321 Chinese Art History (3 semester credit hours) Examination of various forms of artistic expression in China, premodern and modern, including arts and aesthetic theory. Formal and contextual analysis of multiple media (ceramics, metalwork, sculpture, painting, architecture, etc.). Prerequisite", ARTS 1301 or equivalent (3-0) T,"School of Arts, Humanities, and Technology"
AHST,AHST3322,"AHST 3322 Modern Architecture (3 semester credit hours) A survey of modern, postmodern, and contemporary neo-modern architecture, 1900-present. The course follows a narrative of revolution, collectivity, and belief (modernism) followed by irony, skepticism, and disbelief (postmodernism) culminating in the deadpan, post-critical, profit-following architecture of a neo-liberal economy (contemporary neo-modern architecture). Prerequisite", ARTS 1301 or equivalent. (3-0) T,"School of Arts, Humanities, and Technology"
AHST,AHST3324,"AHST 3324 History of Photography (3 semester credit hours) Photography, from 1825 to the present, as a study of evolving styles, stressing key turning points and contributing factors and focusing on a background of the modern art movement and the psychology and events of the times. Critical analysis of the work of various photographers will be included. Topics may include an emphasis on nineteenth century, modern, or contemporary photography. Prerequisite", Completion of 050 core. (3-0) T,"School of Arts, Humanities, and Technology"
AHST,AHST4342,AHST 4342 Topics in Art History (3 semester credit hours) May be repeated for credit as topics vary (9 semester credit hours maximum). Prerequisite, Completion of 050 core. (3-0) R,"School of Arts, Humanities, and Technology"
AHST,AHST4V71,AHST 4V71 Independent Study in Art History (1-3 semester credit hours) Independent study under a faculty member's direction. Signature of instructor and Associate Dean on proposed project outline required. May be repeated for credit (9 semester credit hours maximum). Prerequisites, Upper-division standing and instructor consent required. ([1-3]-0) R,"School of Arts, Humanities, and Technology"
AHTC,AHTC1100,AHTC1100,,
AHTC,AHTC2120,AHTC2120,,
AHTC,AHTC2188,"AHTC 2188 Enrichment in the Arts, Humanities, and Technology (1 semester credit hour) Students participate in prescribed events in the Arts, Humanities, and Technology in conjunction with the Living Learning Community. Lab fee of $30 is required. Prerequisites"," Student is a member of an LLC associated with the School of Arts, Humanities, and Technology. (0-1) S",
AHTC,AHTC2V71,AHTC2V71,,
AHTC,AHTC4V50,AHTC4V50,,
AHTC,AHTC4V51,AHTC4V51,,
AHTC,AHTC4V71,AHTC4V71,,
AHTC,AHTC4V88,AHTC4V88,,
ANGM,ANGM2303,ANGM2303,,
ANGM,ANGM2305,ANGM2305,,
ANGM,ANGM2309,ANGM2309,,
ANGM,ANGM2310,ANGM2310,,
ANGM,ANGM2315,ANGM2315,,
ANGM,ANGM2325,ANGM2325,,
ANGM,ANGM2335,ANGM2335,,
ANGM,ANGM2345,ANGM2345,,
ANGM,ANGM2375,ANGM2375,,
ANGM,ANGM3304,"ANGM 3304 Character Design (3 semester credit hours) Character Design explores basic design principles such as shape language, silhouette, proportion, etc. as they relate to characters for games, animation, and other visual and interactive media. This course will cover human & animal construction, form, turnarounds, size comparisons, and dynamic posing, along with development of costumes, character personality, and emotional expressions to formulate believable, relatable, and appealing designs. This course explores multiple mediums, traditional & digital. Prerequisite", ANGM 2309 with a grade of B or better. (0-3) S,
ANGM,ANGM3305,"ANGM 3305 Computer Animation I (3 semester credit hours) This course presents the concepts, tools and techniques used in 3D key frame animation. Topics will cover the 12 principles of animation including squash and stretch, anticipation, overlapping motion, timing, and more. Students will learn to animate using per-existing rigs and set-ups. Prerequisite", ANGM 2310 with a grade of B or better. (0-3) S,
ANGM,ANGM3306,"ANGM 3306 Modeling and Texturing I (3 semester credit hours) This course presents the basic concepts and fundamentals of computer modeling and texture creation. The principles and techniques covered are universal and can be applied to animation and gaming, as well as other visualization areas. This course does not require any previous 3D animation experience and will assume all students are new to 3D modeling and texturing, and industry professional software. Prerequisite", ANGM 2310 with a grade of B or better. (0-3) S,
ANGM,ANGM3307,"ANGM 3307 Lighting and Composition I (3 semester credit hours) This course presents basic concepts and fundamentals of digital lighting and basic composition. The principles and techniques covered are universal and can be applied to both animation and gaming, as well as other visualization areas. This course does not require previous 3D animation experience and will assume all students are new to 3D lighting and industry professional software. Prerequisite", ANGM 2310 with a grade of B or better. (0-3) S,
ANGM,ANGM3308,"ANGM 3308 Rigging I (3 semester credit hours) This course presents the concepts, tools, and techniques used in 3D animation for setting up clean and efficient 3D rigs that are easily able to be animated. Topics will include hierarchical structures, joints and bones, constraints, creating useful and predictable deformations, and setting up simple and intuitive control structures for use in animation. Introductory animation techniques will also be covered. Prerequisite", ANGM 2310 with a grade of B or better. (0-3) S,
ANGM,ANGM3310,"ANGM 3310 Introduction to Proceduralism (3 semester credit hours) This course introduces procedural methods and techniques used to create 3D graphics for film, motion graphics, real-time experiences and visualization. Topics include procedural assets, environments, animation, lighting and compositing. Students learn foundational Houdini skills to create procedural art. Prerequisite", ANGM 2310 with a grade of B or better. (0-3) Y,
ANGM,ANGM3311,"ANGM 3311 Scripting for Animation (3 semester credit hours) Exploration of processes and practices in tools, engine, and pipeline development for games, animation, and other digital media. Prerequisites", (ANGM 2305 or CS 1335 or CS 1337) and (ANGM 2310 with a grade of B or better). (0-3) S,
ANGM,ANGM3312,"ANGM 3312 Surfacing and Shading (3 semester credit hours) This course introduces advanced techniques for surfacing and materials creation used in both film and games. Specific techniques may include UVing, procedural shaders, and look development using image editing and animation software. Students will also gain experience developing shaders inside a game engine. Prerequisite", ANGM 3306. (0-3) R,
ANGM,ANGM3313,"ANGM 3313 2D Animation (3 semester credit hours) 2D Animation introduces students to traditional 2D digital animation techniques. A solid foundation of animation principles and theories will be built before exploring more advanced topics such as weight, physicality, emotion, and basic character. Prerequisite", ANGM 2309 with a grade of B or better. (0-3) S,
ANGM,ANGM3314,"ANGM 3314 Background Design (3 semester credit hours) Background Design is an introduction to designing dynamic interiors and exteriors for games and animation. This course will focus on proper perspective, composition, set dressing, scale, and more as they relate to designing believable buildings and environments no matter the genre. This course explores multiple mediums, traditional and digital. Prerequisite", ANGM 2309 with a grade of B or better. (0-3) Y,
ANGM,ANGM3315,"ANGM 3315 Animation Studies (3 semester credit hours) This course offers an overview of the academic field of animation studies, approaching it through key pillars"," theory and concepts; form and genres; diversity and representation. Students learn to watch and write about animation critically, discussing its content and production process while critically reflecting upon the industry's current state. Prerequisite: ANGM 2315 or ATCM 2321 or ATCM 3301. (3-0) Y",
ANGM,ANGM3320,ANGM3320,,
ANGM,ANGM3321,"ANGM 3321 Life Drawing (3 semester credit hours) Life Drawing introduces the basic skills of figure construction, form, and basic anatomy with an emphasis on gesture drawing and capturing dynamic poses for animation. Drapery and fabrics will also be explored through the drawing of the costumed figure. Dynamic posing, gesture, style, animals, and time periods will be explored. This course explores multiple mediums, traditional, and digital. Prerequisite", ANGM 2309 with a grade of B or better. (0-3) S,
ANGM,ANGM3330,"ANGM 3330 3D Print Lab (3 semester credit hours) This course is an in-depth examination of Fused Deposition Modeling (FDM) 3D printing fundamentals and techniques. Students will learn how to take pre-made or self-designed 3D assets from software to physical 3D print. In this course, they will be tasked with navigating slicer software, how to update printer firmware, common benefits with FDM over resin, FDM printer engineering to better understand why issues occur, etc. Prerequisite", ANGM 2310 with a grade of B or better. (0-3) S,
ANGM,ANGM3338,"ANGM 3338 Motion Design I (3 semester credit hours) This course is an introduction to the concepts, tools, and techniques used in animated graphic design to enhance a communicated message through motion. Students will work with image, text, audio, and movement to create dynamic visual communication pieces. Prerequisite", ATCM 2301. (0-3) S,
ANGM,ANGM3346,"ANGM 3346 Audio Productions Lab I (3 semester credit hours) This course explores the psychological implications as well as the artistic, cultural and social dimensions of the use of audio in films, games, and various other applications. Topics include recording, editing, processing and diffusing recorded material. Students will learn how to select a voice, an instrument, and/or a sound effect for auditory presentations and direct recording sessions. May be repeated for credit as projects vary (6 semester credit hours maximum). Prerequisite", ANGM 2345. (0-3) R,
ANGM,ANGM3347,"ANGM 3347 Recording Studio Techniques I (3 semester credit hours) Introduces students to the concepts of recording instruments and vocals. Students will learn techniques for recording various instruments used in popular music. Topics covered include studio signal flow, microphone selection and placement, use of outboard and software-based effects processors, overdubbing, creating composite audio tracks, mixing, gain staging, audio processors, and basic file and session management. Prerequisite", ANGM 2345. (0-3) Y,
