name,description,url,start_date,end_date,image,categories,location_name,location_address
"Fall 2025 ""Signature Required"" Period to Withdraw from UG Courses Full-Term Session",,https://calendar.utdallas.edu/event/fall_2025_signature_required_period_to_withdraw_from_ug_courses_full-term_session,2025-10-10 00:00:00,2025-10-10 00:00:00,https://localist-images.azureedge.net/photos/31211613675917/huge/70fdecea12bb9f3650916d4b03e666fe55cb993d.jpg,Career Development,,
Groundbreakers: Post-War Japan and Korea from the DMA Collection,"September 6, 2025 - July 26, 2026

Groundbreakers brings together artists who played with materiality, space, and performance in postwar Japan and Korea after the 1950s. Moving beyond the hand, some artists used unexpected parts of their bodies to make their marks: Shiraga painted with his feet and Matsutani used his mouth to create vinyl bubbles. By extension, their bodily performances became part of their art. The objects and paintings themselves are testaments to the ephemeral nature of their energetic performance.

Other artists of this period upended the implement of the brush by pouring directly onto the canvas or experimented further with materiality by using different mediums, such as tin. Proponents of three art movements—Mono-ha, Dansaekhwa, and Gutai—rigorously interrogated and explored artistic performances, playful use of materials, experimentations with new techniques, a commitment to direct gestures, and a reorientation of subject and object. Through it all, the very process and stages of presenting objects became as important as the final art form.

A common visual thread amongst these artists is a commitment to abstraction and minimalism. These art forms of painting, sound, and installation are meant to be participatory, expanding how the viewer interacts with works of art. Challenging traditional ideas of art, each object is a transformative site that discourages passive looking. In the case of Takamatsu’s Cube 6 + 3, which greets visitors at the entrance of the exhibition, the artist’s simple application of lines onto a three-dimensional cube alters our perception of space and depth.

Two contemporary artists, Tatsuo Miyajima and Do Ho Suh, are positioned as means to provoke a dialogue and conversation about the antecedents and legacy of performance art for contemporary artists and its twin accompaniment the viewer/participant.

This exhibition is organized by The University of Texas at Dallas in collaboration with The Dallas Museum of Art.

On view at the Edith and Peter O'Donnell Jr. Athenaeum.

Athenaeum hours: 11 a.m. to 5 p.m. Tuesday through Sunday. Free admission.",https://calendar.utdallas.edu/event/groundbreakers-post-war-japan-and-korea-from-the-dma-collection,2025-10-10 00:00:00,2025-10-10 00:00:00,https://localist-images.azureedge.net/photos/50772630622979/huge/b1a3716bb05a7d101fc8a3772df1465382a31ff4.jpg,Arts & Performances,Edith and Peter O’Donnell Jr. Athenaeum,"777 Loop Rd SW, Richardson, TX 75080"
Socks & Canned Food Competition,"Join the Military and Veteran Center for a friendly competition with a purpose!

Compete to earn points and make the biggest impact. The teams with the most points will win prizes, and all donations will go directly to local shelters and food banks.

• White socks: 2 points per pair

• Black socks: 1 point per pair

• Canned goods: 2 points per item

• Perishable items: 1 point per item",https://calendar.utdallas.edu/event/socks-canned-food-competition,2025-10-10 00:00:00,2025-10-10 00:00:00,https://localist-images.azureedge.net/photos/50514847905725/huge/f11b07277a0aa1b4498990284b5c337ce28d5baf.jpg,Campus & Community,Military and Veteran Center,
AHT Founders Exhibition Year 2: The ArtBarn,"The Visual Arts Building (aka the Art Barn), which closed in 2013 and was torn down in 2017, served as an incubator for the visual arts, involving the campus community, the larger DFW community, and beyond. Students entered the classroom by walking through the gallery, which represented one of the strongest characteristics of the building. This openness served as an invitation to artists who exhibited in the gallery, with the potential to explore these large spaces coupled with high ceilings, complemented by a viewing area located on the second floor. Over the years, classes and facilities supported a variety of mediums: painting, drawing, photography, printmaking, sculpture, and design; and at different times, ceramics, video, computer imaging, laser cutting, and robotics. Arts faculty curated most of the exhibitions and experienced a unique level of autonomy, while students had unparalleled access to exhibition spaces and facilities. Altogether, the building’s design helped to facilitate a strong sense of community that has continued to reverberate over many decades.

Join us October 6–10, 2025 in the ATC 3rd Floor Gallery, open daily from 9 AM to 5 PM, as we celebrate the rich history of the ArtBarn Visual Arts Building. Explore a vibrant showcase of faculty and student work, event footage, and reflections on the origins of what has become the modern-day Visual Arts Program at UT Dallas.",https://calendar.utdallas.edu/event/aht-founders-exhibition-year-2-the-artbarn,2025-10-10 09:00:00,2025-10-10 17:00:00,https://localist-images.azureedge.net/photos/31829447213197/huge/e928c2ceb805975fb4921a2e166edc672c515bbf.jpg,Arts & Performances,AHT Gallery (ATC 3.102),
Breakfast and BrainHealth: Want to Learn How to Effectively Use AI to Maximize Your Brain’s Creativity?,"Register for breakfast on us!

Friday, October 10 @ 9:00 a.m. CST

Learn how to effectively use AI to maximize your brain’s creativity.

Join Dr. Adam Woods, dean of UTD's School of Behavioral and Brain Sciences, in conversation with Dr. Adam Green, leader of the Lab for Relational Cognition at Georgetown University and the co-founder of The Society for the Neuroscience of Creativity, to hear about the forefront of creativity research and to how to effectively leverage AI in the new landscape of creativity. 

RSVP to reserve your space↗ 

Eugene McDermott Library, McDermott Suite
The University of Texas at Dallas",https://calendar.utdallas.edu/event/breakfast-and-brainhealth-woods-green-october-2025,2025-10-10 09:00:00,2025-10-10 10:00:00,https://localist-images.azureedge.net/photos/50906679689669/huge/600d683a0bfe9c928346014733bdab008e0d653e.jpg,Lectures & Workshops,Eugene McDermott Library (MC),"800 W. Campbell Road, Richardson, Texas 75080-3021"
Flu Vaccine Clinic,"Flu is a contagious respiratory illness caused by influenza viruses that infect the nose, throat, and sometimes the lungs. It can cause mild to severe illness, and at times can lead to death. The best way to prevent flu is by getting a flu vaccine each year.  The Student Health Center is offering free flu vaccines by appointment only to currently enrolled students on a first-come, first-served basis while supplies last. A valid Comet Card is required. Students must schedule an appointment via the Patient Portal.  The visit questionnaire and flu vaccine consent will be available upon check-in.  An Influenza Vaccine Information Sheet will be available under the ""Handouts"" section of the patient portal.  Please note:  If you are pregnant, you must have a signed consent form from your physician.  If you are under the age of 18, you must call the Student Health Center at 972-883-2747 to schedule your appointment.",https://calendar.utdallas.edu/event/flu-vaccine-clinic,2025-10-10 09:00:00,2025-10-10 13:00:00,https://localist-images.azureedge.net/photos/50587177120018/huge/dd03ae2f24a933778e44a9a5d0940618069d517c.jpg,Campus & Community,SU 2.602 (Galaxy Rooms),
Make an appointment for Library Consultation,"McDermott Librarians are available for a one-on-one consultation anytime you need. If you're stuck starting on, or finishing, a research project and want advice from one of our subject specialists, you've come to the right place! Librarians are available for appointments Monday-Friday 9am to 5:30pm. Use this link to Request an Appointment.  We can meet in person or online.",https://calendar.utdallas.edu/event/make-an-appointment-for-library-consultation,2025-10-10 09:00:00,2025-10-10 23:00:00,https://localist-images.azureedge.net/photos/50267709716456/huge/19d2111d899144cda1aca8e73a5c94843e3f0609.jpg,Campus & Community,Eugene McDermott Library (MC),"800 W. Campbell Road, Richardson, Texas 75080-3021"
The Jonsson School Virtual Graduate Showcase - Graduate Student Panel ,"Hear directly from current graduate students in the Jonsson School as they share their experiences, challenges, and advice. This is your chance to ask questions and get honest insights on what it’s really like to be a grad student at UT Dallas. 

Registration Link: https://utdallas.qualtrics.com/jfe/form/SV_0vxKbHRuSo987DE 
You only need to register ONCE. This registration will cover all sessions conducted for the showcase week.  

Zoom Links for the events will be sent to you 24 hours prior to each event.",https://calendar.utdallas.edu/event/the-jonsson-school-virtual-graduate-showcase-graduate-student-panel,2025-10-10 09:00:00,2025-10-10 10:00:00,https://localist-images.azureedge.net/photos/50782821226538/huge/7d44277ae87f409549e3ce8a2a5dacb9de47175d.jpg,Career Development,,
DBT-U (Dialectical Behavioral Therapy for University Students) ,"DBT-U is an open, eight-week, hybrid process- and skills-based group for students to learn and develop coping skills and strategies to improve individual functioning. This group is specifically for clients who have difficulties in emotion regulation, interpersonal difficulties, and pattern of crisis. Group members learn topics related to mindfulness skills, interpersonal effectiveness and communication strategies, emotion regulation, and distress tolerance skills in a structured and supportive learning environment. Each group consists of a brief mindfulness exercise, check-in/introductions, introduction of new skills, discussion/experiential practice and assignment of practice exercise and check-out.
 

Hybrid skills/process groups are focused on the exploration and open processing and discussion of participants. Hybrid skills/process groups are led by one of our therapists and typically more open-ended and less structured around a specific lesson or topic for the day, though new skills and strategies are often a topic of discussion. Clients are required to complete a group screening to assess whether the group matches their needs and interest.

For Hybrid skills/process groups, if you are not a current or recent client, please make an appointment to get started and note your interest in group therapy. You’ll complete intake paperwork and have a 30-minute “IC” (individual consultation) with one of our therapists, and then get scheduled for a brief screening meeting with the group’s leader.

If you are a current or recent client, reach out to our Groups & Workshops Coordinator at sccgroups@utdallas.edu to schedule a screening meeting.",https://calendar.utdallas.edu/event/dbt-u-group,2025-10-10 10:00:00,2025-10-10 10:50:00,https://localist-images.azureedge.net/photos/50544419294003/huge/905e63cc6d5fbf25bab8fc11275d64f176146283.jpg,Career Development,,
NSM: From the Crime Scene to the Courtroom: Discovering Careers in Forensic Science,"Panel Discussion:  10:00am – 10:45am

Meet & Greet Tabling: 11:00am – 11:45am

A career in forensic science involves applying scientific principles to legal matters, often in criminal investigations. Forensic scientists analyze evidence, conduct research, and provide expert testimony in court. There are many different roles within the field, including forensic scientists, crime scene investigators, forensic technicians, and specialists in areas like DNA analysis, ballistics, or toxicology.  Don't miss this panel of experts from the Collin County DA's Office, Collin County Medical Examiner's Office, Garland PD's Forensics Unit, and a forensic lab representative.",https://calendar.utdallas.edu/event/interested-in-csi-learn-about-careers-in-forensics-dna-analysis-toxicology,2025-10-10 10:00:00,2025-10-10 12:00:00,https://localist-images.azureedge.net/photos/50825054200984/huge/23061108c19eba0796a6a6108789092c096ed041.jpg,Lectures & Workshops,Cecil H. Green Hall (GR),"800 W. Campbell Road, Richardson, Texas 75080-3021"
S.T.A.R.S. – Supportive Tabletop Alliance for Recreation and Socialization ,"Join us for a growing initiative from the UTD Student Counseling Center: the S.T.A.R.S. (Supportive Tabletop Alliance for Recreation and Socialization) gaming community! Since Spring 2025, we have been offering students the chance to join in fun, connection, and adventure through the world of Dungeons & Dragons and other tabletop role-playing games.

We have multiple groups running through the semester in a wide variety of times and days!

Students: Are you ready to become part of a team and embark on epic adventures with your fellow students? Through S.T.A.R.S., we have created a safe, supportive space for students to explore new identities, share experiences and have fun together without any pressure or agenda. No, this isn’t a sneaky therapy session! It’s all about building community through fun.

Faculty and Staff: We’re seeking staff and faculty members who are interested in volunteering as Dungeon Masters to lead our game campaigns. No prior experience is required - just a passion for storytelling and a willingness to help create a fun and inclusive experience. The Student Counseling Center will provide all the training and orientation you need to lead the adventures!

If you’re interested in joining, we encourage you to fill out this brief survey to share your availability and help grow and shape this exciting new community.

Survey Link: https://utd.link/STARS 

If you’d like to get involved or have any questions, please reach out to us at supportivegamers@utdallas.edu.",https://calendar.utdallas.edu/event/stars-supportive-tabletop-alliance-for-recreation-and-socialization,2025-10-10 10:00:00,2025-10-10 20:00:00,https://localist-images.azureedge.net/photos/50535208795278/huge/da42af413367e33c953da177422066191ca7798c.jpg,Campus & Community,Student Services Building (SSB),"800 W. Campbell Road, Richardson, Texas 75080-3021"
Chemistry Seminar - Life of a Molecule: from Chemical Reactivity to Bedside,"Our research program spans the spectrum from uncovering fundamental principles of chemical reactivity to applying these insights in biomedical contexts. The ability to design and construct new molecular architectures with defined properties critically depends on efficient methods for controlled and selective bond formation in complex environments. Transformations that reliably introduce or interconvert functional groups are essential for synthesizing materials ranging from small-molecule therapeutics to multifunctional macromolecular systems for imaging and targeted drug delivery. Catalysis offers unparalleled opportunities to achieve these goals while sharpening and training the chemist’s intuition, the quiet engine behind the capacity to recognize patterns of reactivity, anticipate new transformations, and design molecules that push the boundaries of function. This presentation will highlight our work on discovering and understanding new catalytic reactions, elucidating underlying mechanisms and catalyst behavior, and translating these findings into practical applications in drug discovery, cellular and tissue imaging, and precision therapeutics.",https://calendar.utdallas.edu/event/chemistry-seminar-life-of-a-molecule-from-chemical-reactivity-to-bedside,2025-10-10 10:30:00,2025-10-10 12:00:00,https://localist-images.azureedge.net/photos/31211509466080/huge/b3c56827a4b8d1a8d3e44ec7ffc07bc9ca2a2ee2.jpg,Lectures & Workshops,GR 4.428,
Data Science and Statistics Seminar by Dr. Changwoo Lee,"Title: Scalable and robust regression models for continuous proportional data Abstract: Beta regression is used routinely for continuous proportional data, but it often encounters practical issues such as a lack of robustness of regression parameter estimates to misspecification of the beta distribution. We develop an improved class of generalized linear models starting with the continuous binomial (cobin) distribution and further extending to dispersion mixtures of cobin distributions (micobin). The proposed cobin regression and micobin regression models have attractive robustness, computation, and flexibility properties. A key innovation is the Kolmogorov-Gamma data augmentation scheme, which facilitates Gibbs sampling for Bayesian computation, including in hierarchical cases involving nested, longitudinal, or spatial data. We demonstrate robustness, ability to handle responses exactly at the boundary (0 or 1), and computational efficiency relative to beta regression in simulation experiments and through analysis of the benthic macroinvertebrate multimetric index of US lakes using lake watershed covariates.",https://calendar.utdallas.edu/event/statistics-seminar-by-dr-changwoo-lee,2025-10-10 11:00:00,2025-10-10 12:00:00,https://localist-images.azureedge.net/photos/50940282950677/huge/3338271e263bf4ab5c82daea26e6bf2fd52f73bf.jpg,Lectures & Workshops,Sciences Building (SCI),"800 W. Campbell Road, Richardson, Texas 75080-3021"
Learning to Communicate,"Dr. Robert Calderbank

Charles S Sydnor Distinguished Professor

 

It is common knowledge that a time-domain pulse is well adapted to pure delay channels, and that a frequency domain pulse is well adapted to pure Doppler channels. In this talk we will explain why the Zak-OTFS waveform, a pulse in the delay-Doppler domain, is well adapted to the doubly spread channels that arise in wireless communication. We will describe how to design the Zak-OTFS waveform so that the input-output (IO) relation is predictable and non-fading, and we will explain how it is possible to learn the IO relation without needing to estimate the underlying channel. We will explore the possibility of a model-free mode of operation, which is especially useful when a traditional model-dependent mode of operation (reliant on channel estimation) is out of reach. We will also describe how the Zak-OTFS waveform supports combined communication and sensing by enabling unambiguous delay-Doppler estimation.

This is joint work with Saif Mohammed, Ananthanarayanan Chockalingam, and Ronny Hadani.",https://calendar.utdallas.edu/event/learning-to-communicate-5639,2025-10-10 11:00:00,2025-10-10 12:00:00,https://localist-images.azureedge.net/photos/50780041544691/huge/9bfa00ffc2e504dbd5d9cc5c9dd125d293fdf113.jpg,Lectures & Workshops,Texas Instruments Auditorium (ECSS 2.102),"800 W. Campbell Road, Richardson, Texas 75080-3021	"
Spirit Friday Lunch @ DHW,"Wear your orange and green UTD spirit wear every Friday and eat lunch at Dining Hall West for only $7 (tax included). 

Admission to the event requires a swipe or a purchased meal at Dining Hall West.",https://calendar.utdallas.edu/event/spirit_friday_dhw_3298,2025-10-10 11:00:00,2025-10-10 15:00:00,https://localist-images.azureedge.net/photos/43961149404344/huge/b6d30c2c3c4cb789969754470bb4a9b157603e9f.jpg,Campus & Community,Dining Hall West,"800 W. Campbell Road, Richardson, Texas 75080-3021"
World Mental Health Day 2025,"Come join the Student Counseling Center and departments across campus as we observe and celebrate World Mental Health Day! There will be music, dancing, a short-film screening with panel, Thereoke, and many additional activities hosted by our wonderful campus partners.",https://calendar.utdallas.edu/event/world-mental-health-day-25,2025-10-10 11:00:00,2025-10-10 12:00:00,https://localist-images.azureedge.net/photos/50781903459729/huge/ed79d7a16b2338b28d22c9b502ff9887cf88e2bc.jpg,Campus & Community,Student Union (SU),"800 W. Campbell Road, Richardson, Texas 75080-3021	"
